Player,Age,Tm,G,GS,MP,PER,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
Steven Adams\adamsst01,26,OKC,63,63,26.7,20.5,14,24,13.2,1.5,3.4,14.2,17.3,3.8,2.7,1.9,1.1,283,478,0.592,1,3,0.333,117,201,0.582,207,376,146,51,67,94,122,684,2020
Bam Adebayo\adebaba01,22,MIA,72,72,33.6,20.3,8.5,24.9,24.2,1.7,3.8,17.6,21.2,4.6,3.9,1.4,2,440,790,0.557,2,14,0.143,264,382,0.691,176,559,368,82,93,204,182,1146,2020
LaMarcus Aldridge\aldrila01,34,SAS,53,53,33.1,19.7,6.3,17.8,11.4,1,4.4,7.8,23.4,3,1.4,1.8,-0.5,391,793,0.493,61,157,0.389,158,191,0.827,103,289,129,36,87,74,128,1001,2020
Kyle Alexander\alexaky01,23,MIA,2,0,6.5,4.7,17.9,8.3,0,0,0,33.3,10.2,0,0,-6.1,-3.5,1,2,0.5,0,0,,0,0,,2,1,0,0,0,1,1,2,2020
Nickeil Alexander-Walker\alexani01,21,NOP,47,1,12.6,8.9,1.6,13.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-3.2,-1.4,98,266,0.368,46,133,0.346,25,37,0.676,9,75,89,17,8,54,57,267,2020
Grayson Allen\allengr01,24,MEM,38,0,18.9,12,1.2,11.1,10,0.7,0.2,10.9,17.6,0.8,0.4,-0.1,-1.2,117,251,0.466,57,141,0.404,39,45,0.867,8,77,52,10,2,33,53,330,2020
Jarrett Allen\allenja01,21,BRK,70,64,26.5,20.7,12.3,24.9,8.9,1,4.2,11.7,14.9,5.2,2.9,1.4,1,302,465,0.649,0,6,0,171,270,0.633,216,455,110,40,92,77,162,775,2020
Kadeem Allen\allenka01,27,NYK,10,0,11.7,14,1.8,6.6,27,2.1,1.6,14.1,20.6,0.1,0.1,-0.1,-0.6,19,44,0.432,5,16,0.313,7,11,0.636,2,7,21,5,2,8,7,50,2020
Al-Farouq Aminu\aminual01,29,ORL,18,2,21.1,7.6,6.6,18.4,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,-4.4,1.4,25,86,0.291,9,36,0.25,19,29,0.655,24,63,21,18,8,17,27,78,2020
Justin Anderson\anderju01,26,BRK,10,1,10.7,3.2,1,18.9,10.1,0,4.7,9.1,17.1,-0.2,0.1,-6.8,-0.9,10,38,0.263,6,29,0.207,2,4,0.5,1,20,8,0,6,4,13,28,2020
Kyle Anderson\anderky01,26,MEM,67,28,19.9,12.5,4.7,17.6,15.9,1.9,2.4,15.3,13.5,0.9,1.7,-1.5,2,157,331,0.474,24,85,0.282,52,78,0.667,58,227,162,54,37,66,111,390,2020
Ryan Anderson\anderry01,31,HOU,2,0,7,9.4,0,52.9,20.4,3.3,0,12.5,23.7,0,0,-3.3,0.5,2,7,0.286,1,5,0.2,0,0,,0,7,2,1,0,1,1,5,2020
Giannis Antetokounmpo\antetgi01,25,MIL,63,63,30.4,31.9,7.7,34.8,34.2,1.5,3,13.2,37.5,6.1,5,7.4,4.1,685,1238,0.553,89,293,0.304,398,629,0.633,140,716,354,61,66,230,195,1857,2020
Kostas Antetokounmpo\antetko01,22,LAL,5,0,4,16.3,11.1,5.4,13.7,0,0,20.5,10.3,0.1,0,0.2,-0.9,3,3,1,0,0,,1,2,0.5,2,1,2,0,0,1,2,7,2020
Thanasis Antetokounmpo\antetth01,27,MIL,20,2,6.5,12.2,9.8,8.7,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,-4.6,1.4,24,48,0.5,0,10,0,7,17,0.412,12,12,15,7,2,12,18,55,2020
Carmelo Anthony\anthoca01,35,POR,58,58,32.8,12.4,4,16.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,-1.8,-1.8,336,782,0.43,87,226,0.385,136,161,0.845,71,297,85,49,27,100,171,895,2020
OG Anunoby\anunoog01,22,TOR,69,68,29.9,13.2,4.2,14.2,7.5,2.2,2.1,11.5,14.3,2.1,3.7,-0.8,1.9,286,566,0.505,89,228,0.39,72,102,0.706,80,284,108,96,45,79,167,733,2020
Ryan Arcidiacono\arcidry01,25,CHI,58,4,16,9,2.3,11.2,14.3,1.4,0.3,13.5,12.5,0.7,0.7,-2.7,-0.1,90,220,0.409,54,138,0.391,27,38,0.711,20,90,96,27,3,37,96,261,2020
Trevor Ariza\arizatr01,34,TOT,53,21,28.2,11,2.5,15.7,8,2.2,0.9,13.6,11.8,1.3,1.2,-1.4,0.9,142,324,0.438,77,207,0.372,62,74,0.838,34,212,91,69,15,56,111,423,2020
